"STATION","NAME","DATE","TMAX","TMIN"
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-01",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-02",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-03",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-06",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-07",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-08",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-12",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-14",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-15",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-17",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-18",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-19",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-20",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-21",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-22",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-23",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-24",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-25",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-26",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-27",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-28",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-29",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-30",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-06",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-07",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-08",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-12",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-15",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-17",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-21",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-22",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-23",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-24",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-25",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-26",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-27",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-28",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-01",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-02",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-03",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-06",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-07",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-08",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-12",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-14",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-15",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-17",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-18",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-19",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-20",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-21",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-22",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-23",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-24",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-25",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-26",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-27",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-30",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-03-31",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-01",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-02",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-03",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-06",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-07",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-08",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-12",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-14",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-15",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-17",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-18",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-19",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-20",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-21",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-22",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-23",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-24",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-25",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-26",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-27",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-28",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-29",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-04-30",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-01",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-02",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-03",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-12",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-14",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-15",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-17",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-18",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-19",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-20",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-21",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-22",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-24",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-25",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-26",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-27",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-28",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-05-29",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-01",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-02",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-03",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-04",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-05",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-06",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-07",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-08",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-09",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-10",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-11",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-12",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-13",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-14",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-15",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-16",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-17",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-18",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-19",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-20",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-21",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-22",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-23",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-24",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-25",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-26",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-27",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-28",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-29",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-30",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-01-31",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-01",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-02",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-03",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-04",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-05",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-06",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-07",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-08",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-09",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-10",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-11",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-12",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-13",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-14",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-15",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-16",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-17",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-18",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-19",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-20",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-21",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-22",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-23",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-24",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-25",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-26",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-27",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-02-28",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-01",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-02",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-03",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-04",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-05",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-06",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-07",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-08",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-09",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-10",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-11",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-12",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-13",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-14",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-15",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-16",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-17",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-18",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-19",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-20",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-21",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-22",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-23",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-24",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-25",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-26",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-27",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-28",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-29",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-30",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-03-31",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-01",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-02",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-03",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-04",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-05",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-06",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-07",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-08",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-09",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-10",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-11",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-12",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-13",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-14",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-15",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-16",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-17",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-18",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-19",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-20",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-21",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-22",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-23",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-24",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-25",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-26",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-27",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-28",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-29",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-04-30",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-01",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-02",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-03",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-04",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-05",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-06",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-07",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-08",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-09",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-10",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-11",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-12",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-13",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-14",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-15",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-16",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-17",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-18",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-19",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-20",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-21",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-22",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-23",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-24",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-25",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-26",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-27",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-28",,
"US1MDMG0106","SILVER SPRING 6.4 NNE, MD US","2021-05-29",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-01",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-02",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-03",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-04",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-05",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-06",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-07",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-08",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-09",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-10",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-11",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-12",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-13",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-14",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-15",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-16",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-17",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-18",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-19",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-20",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-21",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-22",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-23",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-24",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-25",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-26",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-27",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-28",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-29",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-30",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-01-31",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-01",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-02",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-03",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-04",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-05",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-06",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-07",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-08",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-09",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-10",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-11",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-12",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-13",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-14",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-15",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-16",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-17",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-18",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-19",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-20",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-21",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-22",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-23",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-24",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-25",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-26",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-27",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-02-28",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-01",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-02",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-03",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-04",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-05",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-06",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-07",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-08",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-09",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-10",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-11",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-12",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-13",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-14",,
"US1MDAA0043","DEALE 0.9 SE, MD US","2021-03-15",,
